Seed,Team,Conf,W,L,Win.,WinPerc,AdjEM,EM,AdjO,Orank,AdjD,Drank,AdjT,Tempo,PPG,ppgR,RPG,rpgR,APG,apgR,X3PM,X3R,SoS,SoSR,eFG.,eFGR,TOV.,TOVR,TRB,TRBR,FT,FTR,img,Weight
4,Purdue,B10,18,9,0.67,20,23.7,56,114.3,49,90.6,49,66.5,25,71.1,14,37.6,43,14.3,39,7.1,24,11,63,0.514,29,16.1,25,54.5,57,71.1,23,Purdue.png,1
13,North Texas,CUSA,17,9,0.65,18,13.13,21,106.1,13,92.9,36,63.1,3,69.8,9,33.3,7,13.3,19,7.6,33,132,22,0.546,54,17.8,8,52.1,32,73.4,42,North Texas.png,1
6,Texas Tech,B12,17,10,0.63,12,22.38,46,113.1,42,90.7,48,65.4,14,73,26,35.1,18,13.1,13,6.2,4,59,38,0.497,12,13.9,55,51.5,25,71.1,23,Texas Tech.png,1
11,Utah State,MWC,20,8,0.71,33,17.94,32,106.4,15,88.5,62,68.9,46,73.3,29,40.8,65,16.3,59,6.5,9,119,23,0.5,14,16.5,19,57.2,67,72.6,36,Utah State.png,1
3,Arkansas,SEC,22,6,0.79,53,22.96,51,112.2,40,89.2,57,73.1,65,82.4,64,40,58,15,44,7.9,38,60,37,0.515,30,14.9,34,52.8,38,73.7,44,Arkansas.png,1
14,Colgate,Pat,14,1,0.93,66,11.65,18,111.6,35,99.9,10,72.5,64,86.4,67,40.5,64,17.6,64,8.7,58,313,6,0.566,64,12.3,65,53.8,50,73.6,43,Colgate.png,1
7,Florida,SEC,14,9,0.61,10,18.98,34,111.7,37,92.7,39,68.7,44,74,32,35.2,20,11.8,3,6.8,18,23,55,0.525,37,18.2,7,50.8,21,75.7,54,Florida.png,1
10,Virginia Tech,ACC,15,6,0.71,33,16.65,27,110.7,27,94.1,30,66.2,22,72.1,20,35.1,18,14.4,40,8.2,45,80,30,0.525,37,15.2,33,52.3,35,69.7,14,Virginia Tech.png,1
2,Ohio State,B10,21,9,0.7,31,26.85,62,123,65,96.1,21,67.1,29,77,48,36.2,33,13.1,13,8.2,45,5,67,0.532,45,13.5,62,52,29,76.5,57,Ohio State.png,1
15,Oral Roberts,Sum,16,10,0.62,11,2.64,7,109.4,22,106.7,1,71.8,59,81.8,62,35.2,20,12.7,9,11.3,68,177,17,0.545,52,14.1,53,47.5,2,82.4,68,Oral Roberts.png,1
1,Illinois,B10,23,6,0.79,54,32.04,66,119.7,62,87.6,65,70.7,57,81.1,61,40.4,63,16.4,61,6.7,14,3,68,0.558,61,16.1,25,57.3,68,68.8,12,Illinois.png,1
16,Drexel,CAA,12,7,0.63,13,3.05,9,107.8,18,104.8,2,64.2,5,71.5,16,33.9,12,15.2,48,7.3,26,238,11,0.543,49,17.2,12,53.7,49,77.7,61,Drexel.png,1
8,Loyola Chicago,MVC,24,4,0.86,62,25.18,60,111.1,33,85.9,68,64.2,5,71.5,16,32.6,3,15.8,54,7.2,25,134,20,0.574,65,16.6,16,54.1,54,72.3,33,Loyola Chicago.png,1
9,Georgia Tech,ACC,17,8,0.68,24,19.98,37,114,47,94.1,30,67.8,36,75.5,41,30.8,1,16.1,58,7.6,33,50,42,0.538,47,14.3,48,47.2,1,72.7,37,Georgia Tech.png,1
5,Tennessee,SEC,18,8,0.69,26,22.49,48,109.5,23,87,66,67.3,31,72.5,23,35.9,28,15,44,6.7,14,49,43,0.501,15,15.7,29,51.6,26,74.6,50,Tennessee.png,1
12,Oregon State,P12,17,12,0.59,6,11.6,17,110,25,98.4,16,65.4,14,70.7,12,33.7,11,14.7,42,7,22,62,36,0.497,12,14.7,38,50.2,14,75.8,55,Oregon State.png,1
4,Oklahoma State,B12,20,8,0.71,33,20.2,39,110.8,29,90.6,49,72,61,77.1,50,38.6,52,13.2,15,6.4,6,22,56,0.521,34,18.7,3,52.1,32,71.3,27,Oklahoma State.png,1
13,Liberty,ASun,23,5,0.82,57,9.8,14,110.8,29,101,7,63.1,3,74.9,38,33.4,9,15.9,55,10.3,65,314,5,0.585,67,13.6,60,53,40,77.7,61,Liberty.png,1
6,SDSU,MWC,23,4,0.85,60,22.72,49,111.5,34,88.8,59,66.1,20,74.1,33,35.9,28,13.9,34,8.5,53,109,24,0.529,40,14.6,40,53,40,72.3,33,SDSU.png,1
11,Syracuse,ACC,16,9,0.64,14,17.66,31,114.5,51,96.9,18,69.2,48,75.8,45,35.8,27,15.3,49,8.1,41,57,39,0.507,21,13.8,58,48.7,3,78.4,64,Syracuse.png,1
3,West Virginia,B12,18,9,0.67,20,21.75,42,116.8,58,95.1,28,69.6,51,77.3,52,38.3,51,13.8,31,7.3,26,19,58,0.487,6,14.3,48,51.7,27,71.7,30,West Virginia.png,1
14,Morehead State,OVC,23,7,0.77,50,5.32,10,100.9,5,95.5,24,65.6,17,68.8,5,37.5,41,12.7,9,6.5,9,217,14,0.522,36,19.7,1,54.8,59,68.2,8,Morehead State.png,1
7,Clemson,ACC,16,7,0.7,27,17.59,30,107.6,16,90,51,64.2,5,65.3,2,32.7,4,13.3,19,8.3,48,29,51,0.504,19,17.2,12,50.1,13,76.5,57,Clemson.png,1
10,Rutgers,B10,15,11,0.58,5,19.57,36,109.3,21,89.8,53,67.8,36,70,10,35.3,23,13.8,31,6,3,7,66,0.502,16,14.4,46,49.2,7,63.2,1,Rutgers.png,1
2,Houston,Amer,24,3,0.89,64,30.25,63,119.6,61,89.4,55,64.9,9,77.1,50,41.1,66,13.7,28,9.3,62,106,25,0.515,30,13.6,60,56.3,63,73.9,47,Houston.png,1
15,Cleveland State,Horz,19,7,0.73,42,2.8,8,101.5,8,98.7,14,66.3,23,71.5,16,35,16,14,36,6.4,6,199,15,0.507,21,16.1,25,49.8,9,66.9,5,Cleveland State.png,1
